Date,VOW,BMW,TM,F,GM,HSBC,SAN,JPM,BAC,C,XOM,CVX,GBX,BP,TTE,KO,MCD,NSRGF,PEP,KHC,JNJ,PFE,CVS,NOVN,BAYN,DIS,NFLX,FOXA,META,GOOGL,AMZN,WMT,TGT,HD,COST,MSFT,SAP,CRM,ORCL,IBM,SSNLF,AAPL,DELL,INTC,NVDA,T,VZ,TMUS,VOD,NOKIA
2010-06,1,2,4,16,2,7,1,1,17,14,0.5,0,2,100,0,1,1,1,5,1,3,1,0,4,5,1,1,1,5,0.5,1,2,1,1,0.5,6,3,1,0,5,1,8,1,1,0.5,3,4,0,1,2
2010-07,1,2,4,20,2,6,1,1,19,14,0.5,0,1,63,0,1,1,0,3,3,4,3,0,4,3,1,1,1,5,0.5,2,2,1,1,0.5,5,3,1,0,6,1,7,1,1,0.5,3,5,0,2,2
2010-08,1,2,4,18,4,6,0.5,0,15,10,0.5,0,1,33,0.5,1,2,0,4,3,2,1,1,6,4,1,1,1,5,0,2,2,1,1,1,5,3,1,0,4,1,4,1,1,0.5,3,4,0.5,2,2
2010-09,1,2,4,16,2,8,0,1,16,12,0.5,0,1,18,0,2,2,1,7,1,4,1,0,3,3,1,1,1,6,0,2,2,2,1,1,6,3,2,0.5,5,1,5,1,1,0.5,2,3,0,1,2
2010-10,1,3,4,20,3,6,0,0.5,22,12,0.5,0.5,1,12,0,2,2,0,6,3,3,0,0,5,3,1,2,1,8,0.5,2,2,2,1,1,7,3,2,0.5,7,1,7,1,1,0.5,2,5,0,1,3
2010-11,1,2,4,27,10,7,0.5,1,18,12,0.5,0,1,11,0,2,2,0,8,2,2,2,1,2,4,1,2,1,7,0.5,2,3,2,1,1,6,3,2,0.5,5,1,5,1,1,0.5,2,4,0,1,2
2010-12,1,2,3,21,2,6,0,1,20,13,0.5,0,1,9,0,2,1,1,6,1,5,0,2,4,4,1,2,1,6,0.5,3,3,2,1,1,6,3,2,0.5,4,1,5,1,1,0.5,2,4,0,1,2
2011-01,1,2,4,26,2,8,0.5,1,24,20,0.5,0.5,1,10,0,2,3,0,7,2,8,2,1,4,5,2,2,1,9,0.5,3,3,2,1,1,6,3,2,0.5,7,1,11,1,1,1,3,12,0.5,1,2
2011-02,1,2,4,22,2,8,1,1,19,12,0.5,0,2,11,0,3,2,0,11,2,4,2,2,4,5,2,2,1,8,0.5,2,3,2,1,1,7,3,2,0.5,7,1,7,1,1,0.5,3,7,0,1,5
2011-03,1,2,7,20,1,6,0,1,17,11,0.5,0.5,2,9,0,2,2,0,7,3,4,2,1,4,1,1,2,1,7,0.5,2,3,2,1,1,6,3,2,0.5,6,1,9,1,1,0.5,5,5,0,1,2
2011-04,1,2,5,19,1,6,0,0.5,16,9,0.5,0,2,8,0.5,1,3,0,6,2,6,2,0,5,3,1,2,1,7,0.5,2,3,2,1,1,6,3,2,0.5,6,1,7,1,1,0.5,4,4,0,1,2
2011-05,0.5,2,3,14,1,5,0.5,1,14,19,0.5,0,1,6,0,2,2,0,7,2,3,4,2,2,2,1,1,1,6,0.5,2,2,2,1,1,6,4,2,0.5,5,1,5,1,1,0.5,2,3,0,1,2
2011-06,1,2,3,13,0.5,6,0,0,15,9,0.5,0,1,4,0,1,1,0,6,1,5,2,0,3,3,1,1,1,6,0.5,2,2,2,1,1,5,4,2,0.5,5,1,6,1,1,0.5,2,3,0,1,3
2011-07,0.5,2,3,14,1,5,0,1,19,10,0.5,0,1,4,0,1,2,0,5,2,2,1,2,3,1,1,3,1,6,0.5,3,2,2,1,0.5,4,4,2,0.5,7,2,7,1,1,0.5,2,3,0,1,2
2011-08,1,3,4,23,1,9,0.5,2,87,14,0.5,0,2,6,0,0.5,2,0.5,9,2,4,4,1,5,5,2,2,2,8,0.5,3,3,2,1,1,6,4,2,0.5,8,2,15,1,1,0.5,3,5,0,1,3
2011-09,1,2,4,15,1,7,0,1,42,7,0.5,0,1,4,0,3,1,0,6,2,3,2,0,3,4,1,5,1,7,0.5,3,2,2,1,1,5,4,1,0.5,5,2,7,1,1,0.5,2,3,0,1,2
2011-10,1,2,3,15,1,6,0.5,1,39,8,0.5,0,1,5,0,2,2,0,6,1,4,1,0,6,2,1,6,1,7,0.5,4,2,2,1,1,6,4,2,0.5,7,2,26,1,1,0.5,3,4,0,2,3
2011-11,1,3,3,12,0.5,4,0,0.5,33,5,0.5,0,1,4,0,1,4,0,6,2,0,3,1,4,2,1,3,1,7,0.5,4,3,2,1,1,5,4,1,0.5,7,2,7,1,1,0.5,2,3,0,1,2
2011-12,1,2,3,13,1,3,0,1,34,5,0.5,0,1,3,0,0,2,0,5,2,2,1,0,4,4,1,2,1,7,0.5,4,3,2,1,1,4,4,2,0.5,6,2,5,0.5,1,0.5,2,3,0,1,2
2012-01,1,2,3,13,1,5,0,1,29,5,0.5,0,1,3,0,1,2,0.5,6,3,2,2,1,8,3,1,3,1,10,0,3,3,2,1,1,5,4,1,0.5,5,2,7,0.5,1,0.5,3,3,0,1,3
2012-02,1,2,3,16,1,6,0,1,30,6,0.5,0,2,4,0.5,1,3,0,10,2,4,1,2,5,2,2,2,1,27,0.5,3,3,2,1,1,5,4,1,0.5,6,2,11,1,1,0.5,3,3,0,1,2
2012-03,1,2,3,14,1,5,0,1,33,5,0.5,0,2,4,0.5,2,2,0,5,1,5,1,0,5,3,1,1,1,10,0.5,3,3,2,1,1,6,4,2,0.5,7,2,16,0.5,1,0.5,3,3,0,1,3
2012-04,1,2,3,12,1,5,0.5,1,25,4,0.5,0,1,3,0,3,2,0,6,1,5,3,1,5,3,1,1,1,9,0.5,3,3,2,1,1,6,4,2,0.5,7,2,16,0.5,1,0.5,3,3,0,1,3
2012-05,1,3,3,13,1,6,0.5,2,23,4,0.5,0.5,1,3,0.5,3,2,1,6,2,4,2,2,5,2,2,1,1,100,0.5,3,3,2,1,1,6,4,2,0.5,6,3,11,1,1,0.5,2,3,0,0.5,3
2012-06,1,2,3,12,1,4,0.5,1,18,4,0.5,0.5,1,3,0,2,1,0,5,2,3,2,1,1,4,1,1,1,41,0.5,2,3,1,1,1,7,4,2,0.5,5,3,8,0.5,1,0.5,2,3,0.5,1,4
2012-07,0.5,2,3,12,0.5,6,0,1,18,4,0.5,0.5,2,3,0,2,1,0,6,3,2,3,3,4,2,1,1,1,21,0.5,3,3,2,1,1,5,4,1,0.5,6,3,8,0.5,1,0.5,3,4,0,1,4
2012-08,1,2,3,11,1,5,0,1,17,3,0.5,0,1,3,0,3,2,0,6,2,2,1,1,6,2,1,1,1,29,0.5,3,3,1,1,1,5,3,1,0.5,5,5,11,1,1,0.5,2,3,0,1,5
2012-09,1,3,3,13,1,5,1,0.5,19,4,0.5,0.5,1,3,0.5,2,2,0,5,2,3,0,2,4,5,1,1,1,22,0.5,4,3,1,1,1,6,4,1,0.5,5,4,20,1,1,0.5,3,5,0,1,7
2012-10,1,2,3,13,0.5,5,0.5,1,21,6,0.5,0.5,2,3,0,1,2,0,5,2,3,1,1,5,3,2,1,1,16,0.5,4,3,2,1,1,8,4,2,0.5,7,4,15,1,1,0.5,4,5,0,2,5
2012-11,0.5,2,3,12,1,5,0,1,17,4,0.5,0.5,2,4,0,2,1,0,9,2,2,0,2,4,4,2,1,1,15,0.5,4,4,2,2,1,7,4,1,0.5,6,4,15,1,1,0.5,4,4,0,1,6
2012-12,1,2,3,14,1,4,1,0.5,20,5,0.5,0.5,2,2,0.5,1,2,0.5,5,2,2,1,2,3,5,2,1,1,13,0.5,4,4,2,1,2,6,4,1,0.5,5,4,13,1,1,0.5,3,4,0,1,6
2013-01,1,3,3,21,1,6,0.5,1,28,7,0.5,0,2,3,0.5,2,2,0,8,2,2,4,2,5,3,2,3,1,15,0.5,5,4,2,2,1,7,4,2,0.5,7,5,23,1,1,0.5,3,4,0,1,8
2013-02,1,2,4,16,1,6,0.5,1,23,5,0.5,0.5,2,3,0,1,3,0.5,11,20,4,4,1,2,3,2,3,1,13,0.5,4,4,2,2,1,7,4,2,0.5,6,4,13,2,1,0.5,4,4,0.5,1,5
2013-03,1,2,4,16,1,5,0.5,1,25,5,0.5,0.5,2,3,0.5,2,2,0,13,6,4,2,0,7,2,2,2,1,11,0.5,4,4,2,2,1,6,4,2,0.5,8,5,11,1,1,0.5,4,4,0,1,4
2013-04,1,3,4,16,1,4,0.5,1,22,5,0.5,0.5,2,3,0,2,2,0,11,3,4,3,3,7,2,2,3,1,10,0.5,4,4,2,2,1,7,4,2,0.5,9,4,15,1,1,0.5,4,5,0,1,4
2013-05,1,3,4,18,1,7,0,1,24,7,0.5,0.5,1,3,0,2,2,0,9,3,3,3,1,6,5,2,2,1,11,0.5,3,4,2,2,1,10,4,2,1,8,5,11,1,1,0.5,4,5,0.5,1,4
2013-06,1,3,3,17,0.5,4,0,0.5,21,5,0.5,0.5,1,3,0,1,2,0,7,5,2,3,1,5,2,2,1,1,10,0.5,3,3,2,2,1,10,4,2,1,7,4,9,1,1,0.5,3,5,0,1,4
2013-07,1,3,3,20,0.5,5,0.5,1,27,6,0.5,0,1,2,0,1,2,0,5,3,4,6,1,6,3,2,2,1,13,0.5,4,3,2,2,1,8,4,2,0.5,7,4,8,1,1,0.5,3,4,0,1,5
2013-08,1,3,4,18,1,5,0.5,1,23,5,0,0,2,3,0,1,3,0,5,2,2,1,1,4,3,2,2,1,14,0.5,4,3,2,2,1,7,4,2,1,8,4,10,1,1,0.5,3,4,0.5,1,3
