Date,VOW,BMW,TM,F,GM,SSNLF,AAPL,DELL,INTC,NVDA,HSBC,SAN,JPM,BAC,C,JNJ,PFE,CVS,NOVN,BAYN,XOM,CVX,GBX,BP,TTE,KO,MCD,NSRGF,PEP,KHC,T,VZ,TMUS,VOD,NOKIA,MSFT,SAP,CRM,ORCL,IBM,DIS,NFLX,FOXA,META,GOOGL,AMZN,WMT,TGT,HD,COST
2010-06,6,6,5,11,1,16,38,18,7,7,1,28,15,83,37,0,4,21,3,6,10,5,17,100,5,59,59,16,21,4,33,50,23,62,83,98,13,2,25,13,4,3,2,0.5,33,23,13,7,6,4
2010-07,6,6,6,12,1,16,36,18,7,7,1,31,16,86,38,0,3,24,3,6,9,5,16,57,5,45,58,14,18,4,31,53,25,66,92,89,13,2,23,13,4,3,2,0.5,34,25,15,8,6,5
2010-08,6,6,6,12,1,17,36,20,8,7,1,33,16,89,39,0,3,24,3,6,8,5,15,24,5,41,54,15,19,4,32,53,25,66,100,94,13,2,23,13,4,3,2,0,34,30,15,9,6,5
2010-09,6,6,5,11,1,19,42,18,7,7,1,32,16,87,36,0.5,3,24,3,6,8,4,15,19,5,40,52,16,17,4,32,48,25,67,96,100,13,2,24,13,4,3,2,0,37,29,13,8,5,5
2010-10,6,7,5,10,1,17,39,17,7,7,1,32,15,90,36,0,4,23,3,5,8,4,15,18,7,39,62,17,19,4,29,47,21,64,91,97,13,2,22,13,4,3,2,0.5,37,29,14,8,5,5
2010-11,6,6,5,10,1,18,41,19,7,7,1,32,15,83,35,0,3,23,3,5,8,4,15,16,5,41,51,17,15,4,29,48,24,66,91,98,13,2,23,12,4,3,2,0.5,37,38,23,13,6,6
2010-12,6,6,5,11,1,21,40,18,7,7,1,33,15,97,38,0,3,28,2,5,8,5,16,14,5,43,51,15,14,4,32,55,23,67,95,89,11,2,21,11,4,4,2,0,38,46,24,14,6,7
2011-01,6,6,5,13,1,19,37,17,7,7,1,33,15,89,36,0.5,3,25,3,5,8,5,16,15,5,37,53,15,14,4,29,61,23,65,88,90,12,2,20,11,4,4,2,0,39,37,15,9,5,5
2011-02,7,6,5,13,1,17,33,17,7,6,1,37,15,87,35,0.5,4,23,3,5,8,5,15,15,6,47,53,16,16,4,29,56,21,66,87,91,13,2,21,13,4,4,2,0,42,33,15,8,5,4
2011-03,6,6,5,12,1,17,42,16,7,6,1,40,14,91,36,0,4,24,3,5,9,5,17,14,6,42,59,17,17,4,33,45,23,62,84,90,13,2,23,12,3,4,2,0.5,46,30,14,9,6,5
2011-04,6,6,5,12,1,17,35,15,6,6,1,41,14,89,37,0,3,23,3,5,9,5,15,13,5,45,71,19,17,4,30,47,20,58,80,85,12,2,22,11,4,4,2,0.5,46,32,15,9,7,5
2011-05,6,6,5,11,1,18,35,15,6,6,1,43,14,87,36,0,3,26,2,6,9,5,16,12,6,52,59,17,18,4,30,43,21,61,78,85,13,2,21,11,4,4,2,0.5,48,32,15,9,7,5
